Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Ben Bowden","COL",6.2,32,14.84999999,2.7,5.5,1.35,0.34375,0.0625,0.28125,0.33333333,1.8,0.5,0.75471698,2.6875791549682613,2.8322083176709194,20198
"Total","Tyler Ivey","HOU",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,20237
"Total","Zac Lowther","BAL",0.2,5,0,13.49999993,0,0,0,0.2,-0.2,0.5,4.49999998,0.5,1,7.637579134968262,10.255865572564296,20243
"Total","David Peterson","NYM",19.1,83,11.63793104,3.72413793,3.125,0.46551724,0.30120482,0.09638554,0.20481928,0.26388889,1.39655172,0.38297872,0.86956522,2.801502216718579,2.9794710014549217,20302
"Total","Brusdar Graterol","LAD",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1644994735717775,3.1644994735717775,20367
"Total","Bruce Zimmermann","BAL",11.1,54,12.70588236,3.17647059,4,1.58823529,0.2962963,0.07407407,0.22222223,0.32653061,1.76470588,0.4375,0.81395349,3.6764922038899446,1.8444251117163635,20370
"Total","Anthony Kay","TOR",15.2,75,9.76595744,4.59574468,2.125,2.29787234,0.22666667,0.10666667,0.12,0.36363636,2.04255319,0.43478261,0.68181818,5.851651033674861,4.801060458294822,20387
"Total","Nick Margevicius","SEA",16.1,64,8.81632653,2.20408163,4,1.65306122,0.25,0.0625,0.1875,0.18333333,0.91836735,0.19512195,0.83333333,4.340400851495787,4.257856608030689,20395
"Total","Josh Fleming","TBR",21.2,89,7.06153846,1.24615385,5.66666667,2.07692308,0.19101124,0.03370787,0.15730337,0.26190476,1.15384615,0.27419355,0.8,5.283848964840913,3.1232145396435693,20418
"Total","Enoli Paredes","HOU",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1644994735717775,3.1644994735717775,20447
"Total","Casey Mize","DET",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,20492
"Total","Kyle Nelson","CLE",1,7,9,18,0.5,0,0.14285714,0.28571429,-0.14285715,0.4,4,0.5,1,7.1644994735717775,8.910023775696754,20515
"Total","Jordan Holloway","MIA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,20631
"Total","Yusei Kikuchi","SEA",26.2,111,8.775,3.375,2.6,1.0125,0.23423423,0.09009009,0.14414414,0.21,1.1625,0.25,0.59701493,3.799980449676009,3.28814685049764,20633
"Total","Lucas Gilbreath","COL",4.1,21,10.38461539,2.07692308,5,4.15384616,0.23809524,0.04761905,0.19047619,0.36842105,1.84615385,0.38461538,0.76923077,7.5221945449682615,3.133447741541986,21290
"Total","Seth Romero","WSN",1.2,10,16.19999997,10.79999998,1.5,0,0.3,0.2,0.1,0.25,2.4,0.4,1,3.191419792175293,5.505352260014851,21333
"Total","Kris Bubic","KCR",12.2,54,9.2368421,4.97368421,1.85714286,0.71052632,0.24074074,0.12962963,0.11111111,0.21276596,1.34210526,0.27272727,0.83333333,3.79324470583187,4.217113661809842,21455
"Total","Shane McClanahan","TBR",4.1,23,12.46153847,2.07692308,6,0,0.26086957,0.04347826,0.21739131,0.40909091,2.30769231,0.5625,0.8,1.060656074968262,2.671909279648495,21483
"Total","Daniel Lynch","KCR",1.1,5,6.75000002,0,1,0,0.2,0,0.2,0.33333333,0.75,0.25,-1,1.6375791549682615,2.9467223810848524,21537
"Total","Braxton Garrett","MIA",1.1,10,20.25000005,13.50000003,1.5,0,0.3,0.2,0.1,0.42857143,3.75000001,0.75,1,5.427959642974486,6.874167437507145,21844
"Total","Gregory Santos","SFG",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,21894
