Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Orlando Arcia","MIL",146,0.04794521,0.17123288,0.28,0.27007299,0.30821918,0.41605839,0.72427757,0.1459854,0.30275229,17.413288849464784,-0.8155755744658606,0.3114470120978682,92.8127258231131,13185
"Total","Mike Zunino","TBR",132,0.08333333,0.43939394,0.18965517,0.15384615,0.25,0.39316239,0.64316239,0.23931624,0.19607843,12.337242351758594,-3.580250611615067,0.2805328712318883,81.1830848446284,13265
"Total","Stephen Piscotty","OAK",177,0.06214689,0.3220339,0.19298246,0.20731707,0.26553672,0.37195122,0.63748794,0.16463415,0.27,16.068208872000028,-5.632089064797112,0.27763219304003955,78.62054068061363,13367
"Total","Erik Gonzalez","PIT",264,0.03409091,0.23863636,0.14285714,0.1984127,0.22348485,0.26587302,0.48935787,0.06746032,0.2565445,10.235850211192016,-21.83144718785202,0.21446037834340875,32.13578281067555,13369
"Total","Christian Walker","ARI",236,0.06355932,0.21610169,0.29411765,0.25806452,0.30508475,0.42396313,0.72904788,0.16589861,0.30674847,28.362841537303055,-0.7346984165844086,0.31234131475626414,93.39372242446309,13419
"Total","Tom Murphy","SEA",56,0.05357143,0.33928571,0.15789474,0.13207547,0.17857143,0.26415094,0.44272237,0.13207547,0.15625,1.4702057241899271,-5.059022903491805,0.19632919132709503,25.81333813296347,13499
"Total","Jose Peraza","2 Tms",104,0.03846154,0.16346154,0.23529412,0.24210526,0.29807692,0.35789474,0.65597166,0.11578948,0.27272727,10.355228289486856,-2.3959359829407028,0.28888127838189787,79.78538687068612,13593
"Total","Mookie Betts","LAD",324,0.08641975,0.13888889,0.62222222,0.28719723,0.36111111,0.56747405,0.92858516,0.28027682,0.28,60.26169012118351,20.85925846923363,0.3920587827394038,152.1803752072254,13611
"Total","Carson Kelly","ARI",169,0.09467456,0.23668639,0.4,0.2739726,0.35502959,0.45205479,0.80708438,0.17808219,0.33009709,25.19063513914383,4.771551357603435,0.3494630455970764,118.87024611129995,13620
"Total","Tyrone Taylor","MIL",75,0.06666667,0.25333333,0.26315789,0.18461538,0.29333333,0.4,0.69333333,0.21538462,0.20930233,8.53497384451399,-0.4150350842617976,0.3051234308878581,91.3337899855094,13675
"Total","Jacob Stallings","PIT",206,0.09708738,0.24757282,0.39215686,0.23626374,0.31372549,0.34615385,0.65987934,0.10989011,0.31007752,21.309917395548872,-3.6196922607850506,0.2943279979860081,84.63438056908255,13723
