Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Niko Goodrum","DET",252,0.1031746,0.40079365,0.25742574,0.17040359,0.25793651,0.28699552,0.54493203,0.11659193,0.27118644,16.14898666936576,-14.501320196207166,0.24646895769096555,51.512194798542076,12092
"Total","Max Kepler","MIN",252,0.11904762,0.17063492,0.69767442,0.25345622,0.34920635,0.51612903,0.86533538,0.26267281,0.25766871,41.415582013690184,10.756340091490454,0.3667580651572026,134.44941563418507,12144
"Total","Eddie Rosario","2 Tms",286,0.08741259,0.14685315,0.5952381,0.25193798,0.31818182,0.47286822,0.79105004,0.22093024,0.24630542,39.69602045392644,4.795617252346387,0.3349519042481839,112.20820625566203,12155
"Total","Ben Gamel","3 Tms",152,0.09868421,0.30263158,0.32608696,0.22627737,0.30263158,0.39416058,0.69679216,0.16788321,0.31818182,17.056692963035562,-1.585809858946345,0.30351762238301727,88.78246642736569,12160
"Total","Rougned Odor","2 Tms",162,0.08024691,0.28395062,0.2826087,0.19178082,0.25925926,0.42465753,0.68391679,0.23287671,0.19565217,16.41234124318361,-3.34248492255211,0.29039530364083654,83.34393701783802,12282
"Total","Jace Peterson","MIL",79,0.18987342,0.32911392,0.57692308,0.203125,0.35443038,0.40625,0.76068038,0.203125,0.26470588,11.246073516969556,1.5348342461036384,0.339871753620196,112.42994673694602,12325
"Total","Tommy La Stella","3 Tms",238,0.11344538,0.07983193,1.42105263,0.28985507,0.37288136,0.47342995,0.84631131,0.18357488,0.29508197,39.058412210280416,9.799165972704408,0.36566832762653545,136.13137936453214,12371
"Total","Kolten Wong","2 Tms",287,0.09407666,0.1533101,0.61363636,0.25403226,0.34385965,0.35080645,0.6946661,0.09677419,0.2955665,33.61520096213248,-1.383925494545436,0.31001823024277975,95.44278709580814,12532
"Total","Alex Dickerson","SFG",271,0.07749077,0.18819188,0.41176471,0.2601626,0.32472325,0.48780488,0.81252813,0.22764228,0.27868852,39.86935821796317,6.86975150431056,0.3441927512782214,119.6839168143064,12649
"Total","Brad Miller","2 Tms",228,0.12719298,0.26754386,0.47540984,0.25510204,0.35526316,0.44897959,0.80424275,0.19387755,0.328125,34.02153988936483,6.08905835458576,0.3483001802461263,120.8355452254128,12775
"Total","Brian Goodwin","2 Tms",123,0.12195122,0.32520325,0.375,0.23584906,0.32520325,0.44339623,0.76859948,0.20754717,0.328125,16.077528601804886,0.6375323294793717,0.32584491518677255,104.5358050484777,12858
"Total","Gregory Polanco","PIT",246,0.08536585,0.32926829,0.25925926,0.1981982,0.26422764,0.39189189,0.65611953,0.19369369,0.2481203,22.75260408224773,-7.108792006948474,0.2811639800363657,76.07805245836707,12907
"Total","Francisco Lindor","2 Tms",333,0.10510511,0.17417417,0.60344828,0.21917808,0.30630631,0.34931507,0.65562138,0.13013699,0.24122807,33.160730086639234,-7.451872899756126,0.2874844341567068,81.31640400237379,12916
