Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Joe Musgrove","SDP",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,12970
"Total","Joe Ross","WSN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,12972
"Total","Andrew Chafin","2 Tms",18.1,73,10.8,3.92727273,2.75,0.98181818,0.30136986,0.10958904,0.19178082,0.16923077,1.03636364,0.2195122,0.92592593,3.4775778537776016,3.7178464418902837,12988
"Total","Reymin Guduan","OAK",7.1,42,4.90909091,4.90909091,1,1.22727273,0.0952381,0.0952381,0,0.44736842,2.86363636,0.48484848,0.81632653,5.455760974968262,6.063294113741283,13058
"Total","Eduardo Rodriguez","BOS",47.1,202,9.88732394,2.47183099,4,1.33098592,0.25742574,0.06435644,0.1930693,0.29411765,1.43661972,0.36923077,0.73883162,3.686874924968262,3.276307951889103,13164
"Total","Zach Davies","SDP",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,13183
"Total","Ross Stripling","LAD",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,13273
"Total","Danny Coulombe","MIN",2,10,9,13.5,0.66666667,0,0.2,0.3,-0.1,0.14285714,2,0.2,1,5.691419792175293,6.6555583223700525,13293
"Total","James Pazos","COL",2.2,18,0,10.12499999,0,3.375,0,0.16666667,-0.16666667,0.5,3.75,0.42857143,0.69767442,11.441419782175291,10.181939271667492,13323
"Total","Luis Cessa","NYY",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,13345
"Total","Hoby Milner","2 Tms",5.2,25,9.52941176,4.76470588,2,3.17647059,0.24,0.12,0.12,0.28571429,1.58823529,0.30769231,0.97222222,7.760652504348696,5.149621362445875,13346
"Total","Steven Matz","2 Tms",67.1,302,9.08910891,2.53960396,3.57894737,2.53960396,0.22516556,0.06291391,0.16225165,0.29032258,1.48514851,0.32124352,0.71989529,5.7852162093339015,4.202585699918742,13361
"Total","Dylan Floro","LAD",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,13394
"Total","Sam Selman","SFG",14.2,62,7.97727273,4.29545455,1.85714286,0.61363636,0.20967742,0.11290323,0.09677419,0.18867925,1.15909091,0.23076923,0.85227273,4.130057781187312,5.416440484612673,13397
"Total","Marcus Stroman","NYM",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,13431
"Total","Taylor Rogers","MIN",33,142,10.09090909,1.63636364,6.16666667,0.81818182,0.26056338,0.04225352,0.21830986,0.29545455,1.36363636,0.37894737,0.66985646,2.741072820802187,3.1873455938967794,13449
"Total","Lucas Sims","CIN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,13470
"Total","Daniel Norris","DET",31.1,133,7.75531915,3.15957447,2.45454545,1.14893617,0.20300752,0.08270677,0.12030075,0.26446281,1.37234043,0.30769231,0.64171123,4.161307219146619,4.110840385399782,13475
"Total","Blake Snell","2 Tms",75,340,11.64,5.28,2.20454545,1.68,0.28529412,0.12941176,0.15588236,0.2414966,1.53333333,0.30978261,0.82987552,4.803661952546165,3.7388009807774676,13543
"Total","Shawn Morimando","MIA",0.1,4,0,0,0,0,0,0,0,0.75,9.00000009,0.75,0.33333333,3.137579154968262,8.374152113708924,13606
"Total","Jakob Junis","KCR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,13619
"Total","Josh D. Smith","MIA",0.2,4,26.99999987,13.49999993,2,13.49999993,0.5,0.25,0.25,0.33333333,2.99999999,0,1,21.191419702175292,4.583835375797493,13629
"Total","John Gant","STL",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1644994735717775,3.1644994735717775,13684
"Total","Max Fried","ATL",75.2,321,9.03964758,3.21145374,2.81481481,0.71365639,0.23676012,0.08411215,0.15264797,0.24475524,1.28193833,0.31067961,0.81395349,3.49928384691106,3.8279151838477445,13743
"Total","Chris Stratton","PIT",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419792175293,3.191419792175293,13761
"Total","Alex Wood","2 Tms",50,208,10.26,3.06,3.35294118,1.08,0.27403846,0.08173077,0.19230769,0.22043011,1.16,0.28455285,0.71428571,3.746193656921387,3.6301288157701492,13781
"Total","Matt Strahm","SDP",7.1,38,6.13636364,3.68181818,1.66666667,1.22727273,0.13157895,0.07894737,0.05263158,0.29032258,1.63636364,0.32,0.95890411,6.464147062175293,6.794994768783665,13799
"Total","Alec Mills","CHC",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,13834
"Total","Paul Sewald","2 Tms",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1644994735717775,3.1644994735717775,13892
"Total","Brent Suter","MIL",43.1,181,10.17692308,2.07692308,4.9,1.03846154,0.27071823,0.05524862,0.21546961,0.26315789,1.26923077,0.34188034,0.8125,3.0952687035717776,2.8585344333385803,13942
"Total","Kevin Gausman","SFG",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,14107
"Total","Josh Hader","MIL",32.2,128,14.87755102,3.58163265,4.15384615,0.55102041,0.421875,0.1015625,0.3203125,0.12612613,0.82653061,0.21428571,0.88235294,2.1220349607997973,3.077689563936647,14212
"Total","Wandy Peralta","2 Tms",28.1,114,7.94117647,2.85882353,2.77777778,1.58823529,0.21929825,0.07894737,0.14035088,0.22330097,1.12941176,0.24324324,0.65384615,4.7549517309832785,4.159360790366561,14295
"Total","Joel Payamps","TOR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.137579154968262,3.137579154968262,14332
"Total","Amir Garrett","CIN",19.1,82,8.37931035,3.72413793,2.25,3.72413793,0.2195122,0.09756098,0.12195122,0.2739726,1.44827586,0.25,0.89285714,7.926833310970648,4.790002551445911,14375
