Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
"Total","Jorge Alfaro","MIA",45,0.02222222,0.31111111,0.07142857,0.25,0.26666667,0.40909091,0.67575758,0.15909091,0.32142857,4.150795966028078,-1.3818274218450943,0.28097924861040985,78.9374694207797,12180
"Total","Kevin Pillar","3 Tms",103,0.04854369,0.18446602,0.26315789,0.30927835,0.34951456,0.50515464,0.8546692,0.19587629,0.35135135,16.783580118527553,4.041788534929893,0.36180153430676926,124.98890873732537,12434
"Total","Curt Casali","2 Tms",52,0.09615385,0.28846154,0.33333333,0.23913043,0.32692308,0.47826087,0.80518395,0.23913044,0.28571429,7.732608891202232,1.3480916983616564,0.3451459866303664,115.81660970104271,12510
"Total","Marcus Semien","2 Tms",117,0.05982906,0.27350427,0.21875,0.24545455,0.29059829,0.46363636,0.75423465,0.21818181,0.28169014,14.956792894124632,0.8328757391568467,0.32275572189917934,106.38313441020219,12533
"Total","C.J. Cron","2 Tms",58,0.06896552,0.25862069,0.26666667,0.30188679,0.36206897,0.56603774,0.92810671,0.26415095,0.37142857,10.72478089658297,3.8462097960499624,0.39559230619463426,140.58330954448004,12546
"Total","Eugenio Suarez","CIN",97,0.10309278,0.31958763,0.32258065,0.14117647,0.2371134,0.37647059,0.61358399,0.23529412,0.14,7.872407958910167,-3.973252168789207,0.2646405500235017,61.377431221576394,12552
"Total","Trevor Story","COL",131,0.11450382,0.18320611,0.625,0.30434783,0.38167939,0.53043478,0.91211417,0.22608695,0.3372093,23.83271588361131,7.879920325933567,0.3865169130838834,130.44526291934295,12564
"Total","George Springer","2 Tms",63,0.12698413,0.19047619,0.66666667,0.23076923,0.32786885,0.48076923,0.80863808,0.25,0.21621622,9.13504972786377,1.2893043506212065,0.3427711705692479,121.57199325513488,12856
"Total","James McCann","2 Tms",62,0.11290323,0.16129032,0.7,0.33333333,0.43548387,0.60784314,1.04332701,0.27450981,0.34210526,14.069604446753285,6.519153570398114,0.44072040434806575,187.6355852605687,12859
"Total","Anthony Rendon","LAA",110,0.19090909,0.10909091,1.75,0.23863636,0.38181818,0.46590909,0.84772727,0.22727273,0.22222222,18.146504865456833,4.668975213040131,0.36516689816746145,135.28466538747918,12861
"Total","Francisco Lindor","2 Tms",118,0.09322034,0.09322034,1,0.25742574,0.34482759,0.37623762,0.72106521,0.11881188,0.26966292,14.950709378523289,0.6029781756824829,0.32145443969759446,103.9171220014143,12916
"Total","Phillip Evans","PIT",42,0.07142857,0.19047619,0.375,0.23684211,0.30952381,0.34210526,0.65162907,0.10526315,0.27586207,4.369694135129688,-0.652318128406765,0.2903877141929808,83.28751901149772,12950
"Total","Austin Hedges","2 Tms",55,0.09090909,0.30909091,0.29411765,0.12244898,0.2037037,0.20408163,0.40778533,0.08163265,0.16129032,1.0776339324709139,-5.567312799156074,0.19096514913770887,16.59970208053746,12976
"Total","Javier Baez","CHC",104,0.04807692,0.32692308,0.14705882,0.20833333,0.25961538,0.4375,0.69711538,0.22916667,0.24561404,11.039856411513043,-1.6130222380197508,0.2972192873175328,86.1444015940173,12979
"Total","Teoscar Hernandez","TOR",87,0.08045977,0.25287356,0.31818182,0.325,0.37931034,0.6875,1.06681034,0.3625,0.36,19.755505400471417,9.120454239420622,0.4447176429046982,185.129697860743,13066
"Total","Josh Bell","2 Tms",95,0.13684211,0.26315789,0.52,0.15584416,0.27368421,0.28571429,0.5593985,0.12987013,0.16981132,6.378093340282234,-5.252250163967816,0.24911129221003106,53.526156166738716,13145
"Total","Jorge Polanco","MIN",119,0.03361345,0.13445378,0.25,0.3125,0.33613445,0.49107143,0.82720588,0.17857143,0.33684211,18.03636571137462,3.6524566498235305,0.3521017893021848,124.68840886450528,13152
"Total","Orlando Arcia","MIL",54,0.12962963,0.18518519,0.7,0.19148936,0.2962963,0.34042553,0.63672183,0.14893617,0.22222222,5.16384092952291,-1.6146940193029262,0.28432054431350146,74.50459279896342,13185
"Total","Mike Zunino","TBR",68,0.07352941,0.33823529,0.2173913,0.24193548,0.30882353,0.62903226,0.93785579,0.38709678,0.25,12.335763051041729,4.184037587472566,0.39338235469425425,156.97817038043559,13265
"Total","Ildemaro Vargas","4 Tms",44,0.06818182,0.27272727,0.25,0.09756098,0.15909091,0.17073171,0.32982262,0.07317073,0.10714286,-0.5593222114337293,-5.957482117701849,0.15266838398846713,-11.051005735857366,13324
"Total","Stephen Piscotty","OAK",109,0.0733945,0.2293578,0.32,0.23232323,0.28703704,0.33333333,0.62037037,0.1010101,0.28767123,9.494890436477666,-3.678409658424849,0.27484104920316627,76.89359466064637,13367
"Total","Erik Gonzalez","PIT",90,0.06666667,0.16666667,0.4,0.28915663,0.33707865,0.51807229,0.85515094,0.22891566,0.3125,14.575465041342575,3.6442441149981804,0.3638617938823914,130.53765964533554,13369
"Total","Christian Walker","ARI",78,0.12820513,0.20512821,0.625,0.24615385,0.35897436,0.43076923,0.78974359,0.18461538,0.29166667,11.345189439398803,1.6611929706163786,0.3443483297641461,113.9234202685396,13419
"Total","Tom Murphy","SEA",45,0.08888889,0.31111111,0.28571429,0.20512821,0.27906977,0.51282051,0.79189028,0.3076923,0.22727273,6.24535185368476,0.9986502778690816,0.33714841964632963,120.70885977828401,13499
"Total","Jose  Ramirez","CLE",150,0.12,0.12,1,0.32824427,0.41333333,0.65648855,1.06982188,0.32824428,0.32038835,34.241207733005574,16.153553686291275,0.4440333706301612,184.9113079238888,13510
"Total","Roman Quinn","PHI",62,0.06451613,0.25806452,0.25,0.15517241,0.20967742,0.31034483,0.52002225,0.15517242,0.175,3.040156208150634,-4.510294668204537,0.22501439625217068,38.01415914490117,13546
"Total","Jose Peraza","2 Tms",69,0.05797101,0.10144928,0.57142857,0.2,0.24637681,0.35384615,0.60022296,0.15384615,0.21052632,5.203186670975505,-3.2885085766150364,0.2600984141446542,59.60855701614416,13593
"Total","Mookie Betts","LAD",124,0.16935484,0.19354839,0.875,0.21782178,0.35483871,0.31683168,0.67167039,0.0990099,0.27272727,13.774169902709446,-1.2552513969865222,0.30409161526648726,94.26567282084561,13611
"Total","Ketel Marte","ARI",62,0.01612903,0.08064516,0.2,0.41666667,0.43548387,0.65,1.08548387,0.23333333,0.44444444,15.066607959266019,7.355326063628507,0.45982637520759334,190.04186653185147,13613
"Total","Carson Kelly","ARI",85,0.15294118,0.15294118,1,0.21428571,0.34117647,0.44285714,0.78403361,0.22857143,0.18867925,11.76567782438006,1.4174237397929623,0.3377682516972224,111.90293989072323,13620
"Total","Jeimer Candelario","DET",93,0.08602151,0.21505376,0.4,0.38823529,0.44086022,0.55294118,0.9938014,0.16470589,0.49206349,19.971866507013793,8.735540758749003,0.4279781195425218,175.5047818695424,13621
"Total","Tyrone Taylor","MIL",50,0.04,0.18,0.22222222,0.25531915,0.3,0.42553191,0.72553191,0.17021276,0.27777778,6.094391225883989,0.10389178902867242,0.3158464372158051,98.08247547282649,13675
"Total","Jacob Stallings","PIT",77,0.16883117,0.22077922,0.76470588,0.265625,0.38961039,0.546875,0.93648539,0.28125,0.30232558,14.80057060957401,5.45654392481296,0.40068060391909116,154.73371236247505,13723
"Total","Chris Taylor","LAD",117,0.14529915,0.25641026,0.56666667,0.24242424,0.35897436,0.51515152,0.87412588,0.27272728,0.28571429,19.629192133172424,5.45166463844386,0.37267813857259424,139.73318572206233,13757
"Total","Adalberto Mondesi","KCR",60,0.03333333,0.23333333,0.14285714,0.31034483,0.33333333,0.67241379,1.00574712,0.36206896,0.35,12.29780394313604,4.8107737275746505,0.4136771361033122,164.27018865244128,13769
