Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId,bats,pitch
Total,Colin Moran,PIT,85,0.08235294,0.28235294,0.29166667,0.23076923,0.29411765,0.34615385,0.6402715,0.11538462,0.32075472,8.050345217008557,-2.360454263966117,0.2827822727315566,76.56724801974484,16909,L,L
Total,Alex Verdugo,BOS,139,0.05755396,0.21582734,0.26666667,0.3,0.34532374,0.39230769,0.73763143,0.09230769,0.37755102,18.122305383207028,1.1831525389568232,0.32519175937707473,102.69642736218066,17027,L,L
Total,Rafael Devers,BOS,150,0.08,0.26,0.30769231,0.23134328,0.31333333,0.35074627,0.6640796,0.11940299,0.30434783,15.925433268152466,-2.3587920243513683,0.297355500459671,83.45765046910056,17350,L,L
Total,DJ Stewart,BAL,47,0.10638298,0.29787234,0.35714286,0.19512195,0.2826087,0.26829268,0.55090138,0.07317073,0.26923077,3.292998754677797,-2.356655633749938,0.2530540046484574,58.33570531734644,17766,L,L
Total,Willie Calhoun,TEX,51,0.01960784,0.07843137,0.25,0.27659574,0.31372549,0.36170213,0.67542762,0.08510639,0.27906977,5.513760703601002,-0.6290723281129607,0.2977980807715771,89.16427017800154,17838,L,L
Total,Andrew Benintendi,2 Tms,68,0.08823529,0.20588235,0.42857143,0.2,0.28358209,0.23333333,0.51691542,0.03333333,0.26086957,4.294096327140139,-3.7414734002806687,0.24277094940641036,50.327775719607814,17901,L,L
Total,Cedric Mullins,BAL,74,0.09459459,0.16216216,0.58333333,0.29850746,0.36486486,0.44776119,0.81262605,0.14925373,0.33962264,11.418679262458685,2.7907700044506822,0.3565708044412973,130.11207431966778,17929,L,L
Total,Jake Cronenworth,SDP,129,0.08527132,0.17054264,0.5,0.23478261,0.3125,0.27826087,0.59076087,0.04347826,0.29032258,11.009617316493934,-4.575965655078943,0.2715095467865467,71.81599756149612,18036,L,L
Total,Kyle Tucker,HOU,161,0.06832298,0.16149068,0.42307692,0.21088435,0.26086957,0.41496599,0.67583556,0.20408164,0.19827586,15.909231394912087,-3.5145600434290536,0.28742459990222996,85.83441195725786,18345,L,L
Total,Trent Grisham,SDP,102,0.10784314,0.31372549,0.34375,0.26966292,0.35643564,0.43820225,0.79463789,0.16853933,0.38888889,15.01359473043609,2.52242236459184,0.3470866030985766,120.53104999303216,18564,L,L
Total,Luis Arraez,MIN,71,0.12676056,0.09859155,1.28571429,0.20967742,0.30985915,0.25806452,0.56792367,0.048387099999999995,0.23636364,5.721763971655856,-2.8244168801016714,0.2651655455710183,65.95455307063696,18568,L,L
Total,Jared Walsh,LAA,94,0.03191489,0.24468085,0.13043478,0.25842697,0.27659574,0.40449438,0.68109012,0.14606741,0.30769231,9.566698363737876,-1.7147402998639978,0.2905247084637906,84.92391130854888,18607,L,L
Total,Josh Naylor,2 Tms,72,0.08333333,0.25,0.33333333,0.203125,0.28169014,0.328125,0.60981514,0.125,0.25,6.360866874213391,-2.1142711567328627,0.27316130298963737,70.04365809068757,18839,L,L
Total,Brandon Lowe,TBR,120,0.09166667,0.31666667,0.28947368,0.18446602,0.29166667,0.44660194,0.73826861,0.26213592,0.18965517,15.168233941564825,0.6409263417818805,0.3171602482597033,106.55179680477279,18882,L,L
Total,Cavan Biggio,TOR,128,0.171875,0.2734375,0.62857143,0.26470588,0.4047619,0.38235294,0.78711484,0.11764706,0.39393939,20.137359373036976,4.427123240892045,0.35697848077804323,125.65641360996977,19252,L,L
Total,Nicky Lopez,KCR,89,0.08988764,0.17977528,0.5,0.18666667,0.26744186,0.26666667,0.53410853,0.08,0.21666667,5.450337141127542,-5.382160530118988,0.2424853014391522,48.840595025888966,19339,L,L
Total,Yordan Alvarez,HOU,90,0.03333333,0.24444444,0.13636364,0.31325301,0.34444444,0.53012048,0.87456492,0.21686747,0.37288136,14.989050050533614,4.450971615768278,0.37105874750349255,143.8135358595408,19556,L,L
Total,Nate Lowe,2 Tms,107,0.12149533,0.35514019,0.34210526,0.24468085,0.3364486,0.31914894,0.65559754,0.07446809,0.4,11.5196024308251,-1.1077839454366103,0.29925703333917064,91.39779200683948,19566,L,L
Total,Josh Rojas,ARI,67,0.05970149,0.34328358,0.17391304,0.25806452,0.3030303,0.35483871,0.65786901,0.09677419,0.39473684,6.784603039556115,-1.2862692821687751,0.2912889122962952,81.18944056284063,19734,L,L
Total,Shohei Ohtani,LAA,114,0.12280702,0.28947368,0.42424242,0.19587629,0.30701754,0.42268041,0.72969795,0.22680412,0.23333333,14.090412362160347,0.31627531224693795,0.31845865019580777,103.29843795750904,19755,L,L
Total,Pavin Smith,ARI,56,0.07142857,0.125,0.57142857,0.23529412,0.28571429,0.37254902,0.65826331,0.13725489999999999,0.25,5.504640499760034,-1.0871335243092743,0.2859750496489661,78.77948012559007,19892,L,L
Total,Daulton Varsho,ARI,42,0.02380952,0.35714286,0.06666667,0.14634146,0.16666667,0.19512195,0.36178862,0.04878049,0.23076923,-0.3574141051290705,-5.5759976144550505,0.16017184654871622,-7.539233506590579,19918,L,L
Total,Andres Gimenez,2 Tms,43,0.04651163,0.23255814,0.2,0.225,0.27906977,0.4,0.67906977,0.175,0.25,4.576364771327683,-0.6694615400817903,0.2959093160407488,86.98433044478085,19950,L,L
Total,Gavin Lux,LAD,52,0.07692308,0.28846154,0.26666667,0.19148936,0.25,0.23404255,0.48404255,0.04255319,0.27272727,2.3038478517992003,-3.857292925371458,0.2208260825047126,40.933008560348746,19955,L,L
Total,Juan Soto,WSN,101,0.11881188,0.13861386,0.85714286,0.29545455,0.38613861,0.625,1.01113861,0.32954545,0.28358209,20.663026347465816,8.386732972867787,0.41491696664265226,160.51507014474365,20123,L,L
Total,Jazz Chisholm Jr.,MIA,45,0.04444444,0.31111111,0.14285714,0.3255814,0.35555556,0.60465116,0.96020672,0.27906976,0.42307692,8.75923597268738,3.387443604096548,0.40578371418846976,162.94366394612112,20454,L,L
Total,Yoshi Tsutsugo,2 Tms,61,0.09836066,0.40983607,0.24,0.20370370000000002,0.29508197,0.35185185,0.64693382,0.14814815,0.33333333,6.125942586662207,-1.3704603177290815,0.2877018041298038,85.58709268973531,27459,L,L
Total,David Peralta,ARI,334,0.07185629,0.17365269,0.41379309999999997,0.29449838,0.34431138,0.45631068,0.80062206,0.1618123,0.34285714,48.39042768073789,7.947153138048581,0.34356036279574936,114.89978070129548,2136,L,R
Total,Carlos Santana,2 Tms,338,0.21005917,0.17751479,1.18333333,0.19157088,0.36390533,0.35632184,0.72022717,0.16475096,0.19270833,44.30921633991497,3.2119321346570713,0.3272701092064381,105.82960651792769,2396,L,R
Total,Mitch Moreland,3 Tms,207,0.10144928,0.19806763,0.51219512,0.25,0.32850242,0.48913043,0.81763285,0.23913043,0.26315789,30.558014268859026,5.306304941757318,0.3452157808513176,121.3953400364208,3086,L,R
Total,Shin-Soo Choo,TEX,89,0.13483146,0.29213483,0.46153846,0.24324324,0.34831461,0.43243243,0.78074704,0.18918919,0.30434783,12.246594754426026,1.0745649313612216,0.3340722078626806,111.63757656985399,3174,L,R
Total,Robinson Cano,NYM,125,0.048,0.128,0.375,0.33898305,0.368,0.53389831,0.90189831,0.19491526,0.35051546,22.07159961727026,6.3805464949882325,0.3802623046982673,143.45069338526974,3269,L,R
Total,Matt Joyce,2 Tms,174,0.16091954,0.25287356,0.63636364,0.22916667,0.35057471,0.30555556,0.65613027,0.07638889,0.31,18.65393638937556,-2.8395423483959554,0.29791995189910714,88.31076111710063,3353,L,R
Total,Anthony Rizzo,CHC,323,0.12074303,0.15479876,0.78,0.22592593,0.34055728,0.44444444,0.78500172,0.21851851,0.22380952,44.32568885357943,5.030915513354199,0.3342058637916854,110.55228018573791,3473,L,R
Total,Eric Hosmer,SDP,239,0.07949791,0.15899582,0.5,0.29357798,0.35146444,0.46330275,0.81476719,0.16972477,0.31578947,36.24669971738005,7.4605738488211735,0.35096547032604697,124.18773087996556,3516,L,R
Total,Eric Thames,WSN,115,0.09565217,0.31304348,0.30555556,0.20792079,0.30434783,0.30693069,0.61127852,0.0990099,0.3015873,10.068884175408034,-4.366884697091433,0.2747541530090466,66.84161039318433,3711,L,R
Total,Josh Reddick,2 Tms,163,0.07975460000000001,0.19631902,0.40625,0.23648649,0.29629629999999996,0.35810811,0.65440441,0.12162162,0.28070175,16.019246572279545,-4.218510283506307,0.28703978032241634,83.11843372293876,3892,L,R
Total,Dexter Fowler,2 Tms,99,0.1010101,0.28282828,0.35714286,0.25,0.33333333,0.40909091,0.74242424,0.15909091,0.32142857,12.978701252725992,0.6943480859073741,0.3255399272899435,105.91283843190159,4062,L,R
Total,Michael Brantley,HOU,226,0.09734513,0.12831858,0.75862069,0.32352941,0.38938053,0.5,0.88938053,0.17647059,0.35502959,40.45967228031058,12.930143558143563,0.3844973529334617,151.41628864821658,4106,L,R
Total,Joey Votto,CIN,252,0.13492063,0.18253968,0.73913043,0.24311927,0.3452381,0.47706422,0.82230232,0.23394495,0.25157233,38.653531893626685,7.797718725637437,0.3534638572974034,119.58323590913984,4314,L,R
Total,Daniel Murphy,COL,97,0.07216495,0.13402062,0.53846154,0.25,0.30208333,0.375,0.67708333,0.125,0.26027397,9.436352319692512,-2.7399049031983433,0.2862824949812382,62.07166020642935,4316,L,R
Total,Jed Lowrie,OAK,114,0.14035088,0.19298246,0.72727273,0.19387755,0.30701754,0.37755102,0.68456856,0.18367347,0.20833333,12.624295188530864,-0.6673488035355196,0.3020522510055947,97.55377136388107,4418,L,R
Total,Jarrod Dyson,3 Tms,89,0.07865169,0.15730337,0.5,0.17283951,0.23863636,0.20987654,0.4485129,0.03703703,0.20895522,2.8531619902795864,-8.04188107735452,0.20812629569660532,27.061704749662518,4866,L,R
Total,Mike Moustakas,CIN,198,0.11111111,0.21212121,0.52380952,0.25,0.34343434,0.50595238,0.84938672,0.25595238,0.2605042,31.156287521814264,7.034334019516864,0.3586039540126239,123.23685574323866,4892,L,R
Total,Ender Inciarte,ATL,140,0.09285714,0.17857143,0.52,0.19672131,0.27007299,0.23770492,0.50777791,0.04098361,0.24242424,7.516188087623997,-9.753999484020788,0.2337169186042173,41.439262532905055,4922,L,R
Total,Jason Heyward,CHC,240,0.13333333,0.2125,0.62745098,0.25490196,0.3625,0.44607843,0.80857843,0.19117647,0.30136986,36.776850615426824,7.552469339951791,0.3518699953745599,122.38115118721727,4940,L,R
Total,Asdrubal Cabrera,2 Tms,260,0.12307692,0.19615385,0.62745098,0.25,0.34230769,0.42410714,0.76641483,0.17410714,0.28571429,35.440080108167216,3.7051303331270753,0.33454587436639344,108.06186054471588,4962,L,R
Total,Stephen Vogt,ARI,140,0.1,0.22857143,0.4375,0.168,0.25,0.32799999999999996,0.578,0.16,0.1978022,10.048079813776127,-6.900445719303976,0.2551255677427564,56.71882551998028,5000,L,R
Total,Alex Gordon,KCR,154,0.11038961,0.20779221,0.53125,0.20740741,0.30519481,0.32592593,0.63112074,0.11851852,0.24242424,14.786168816385667,-4.545208630265792,0.2847797112031417,75.67976711339081,5209,L,R
Total,Jon Jay,2 Tms,60,0.05,0.2,0.25,0.22222222,0.26666667,0.29629629999999996,0.56296297,0.07407408,0.25581395,3.874357867405332,-3.567997065022074,0.2479401628176371,51.25527212597415,5227,L,R
Total,Robbie Grossman,2 Tms,329,0.13069909,0.21276596,0.61428571,0.24548736,0.35866261,0.45126354,0.80992615,0.20577618,0.28426396,49.42964717056723,9.569339469635203,0.3495954191026512,125.27118507678968,5254,L,R
Total,Sandy Leon,2 Tms,127,0.1023622,0.28346457,0.36111111,0.12727273,0.22834646,0.21818182,0.44652828,0.09090909,0.15068493,4.546905233990237,-10.823361114133318,0.209508850349216,30.238172696404373,5273,L,R
Total,Aaron Hicks,NYY,247,0.17813765,0.20242915,0.88,0.20100503,0.35222672,0.34673367,0.69896039,0.14572864,0.24137931,30.63814476669293,0.4367788934753478,0.31693374044526884,101.51422314513195,5297,L,R
Total,Brandon Crawford,SFG,278,0.08633094,0.24100719,0.35820896,0.27530364,0.34892086,0.53441296,0.88333382,0.25910932,0.31325301,46.31755244671229,12.510727211226255,0.3707479186301684,136.80464267933706,5343,L,R
Total,Freddie Freeman,ATL,357,0.17647059,0.13165266,1.34042553,0.32068966,0.44817927,0.63448276,1.08266203,0.31379309999999994,0.32432432,82.1991907537664,38.788346926936,0.4458495063962464,181.64886378063218,5361,L,R
Total,Pablo Sandoval,2 Tms,126,0.07936508,0.23015873,0.34482759,0.22608696,0.28571429,0.36521739,0.65093168,0.13913043,0.25609756,12.090835098784652,-3.3147338436429816,0.2863251093834165,79.04862143024262,5409,L,R
Total,Ji-Man Choi,TBR,155,0.16774194,0.23225806,0.72222222,0.26190476,0.38064516,0.46825397,0.84889913,0.20634921,0.32584270000000004,24.68181691275932,5.484027683306705,0.3620320192349503,134.76472840580632,5452,L,R
Total,Marwin Gonzalez,2 Tms,253,0.09090909,0.24110672,0.37704918,0.19724771,0.29644269,0.30733945,0.60378214,0.11009174,0.24025974,22.275310150813354,-8.402239516843066,0.2741832711951064,70.0743261511752,5497,L,R
Total,Leury Garcia,CHW,162,0.07407407,0.20987654,0.35294118,0.24161074,0.29813665,0.32214765,0.6202843000000001,0.08053691,0.30088496,14.633254806418364,-4.746298980991892,0.2768505315602937,76.45349996070256,5913,L,R
