P,P,C,1B,2B,3B,SS,OF,OF,OF,OF,Salary,Proj
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Ryan Mountcastle (18305925),Jace Peterson (18305910),Patrick Wisdom (18305861),Ramon Urias (18306043),Andrew McCutchen (18305964),Michael Brantley (18305895),Brian Goodwin (18306054),49700,139.52871725248954
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Bobby Dalbec (18306096),Jace Peterson (18305910),Luis Urias (18305817),Luis Garcia (18306306),Joey Gallo (18305848),Brian Goodwin (18306054),Luis Arraez (18305994),48800,139.52534348607747
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Bobby Bradley (18305858),Marcus Semien (18305794),Hunter Dozier (18306112),Ramon Urias (18306043),Taylor Ward (18306123),Brian Goodwin (18306054),Joey Gallo (18305848),49200,139.52399768759503
Jacob deGrom (18305745),Carlos Rodon (18305746),Yan Gomes (18306047),Ty France (18306006),Jace Peterson (18305910),Hunter Dozier (18306112),Amed Rosario (18305969),Trent Grisham (18305870),Brian Goodwin (18306054),Joey Gallo (18305848),49800,139.48899676155287
Carlos Rodon (18305746),Jacob deGrom (18305745),Jorge Alfaro (18306142),Trey Mancini (18305883),Jace Peterson (18305910),Harold Castro (18306075),Zack Short (18306151),Myles Straw (18306014),Joey Gallo (18305848),Brian Goodwin (18306054),48000,139.45253074020562
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Bobby Dalbec (18306096),Jace Peterson (18305910),Matt Chapman (18305798),Zack Short (18306151),Joey Gallo (18305848),Brian Goodwin (18306054),Gerardo Parra (18306200),47800,139.4269795889694
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Ryan Mountcastle (18305925),Jace Peterson (18305910),Matt Chapman (18305798),Ramon Urias (18306043),Akil Baddoo (18305978),Brian Goodwin (18306054),Robbie Grossman (18305989),49800,139.42688116411261
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Ryan Mountcastle (18305925),Jace Peterson (18305910),Patrick Wisdom (18305861),Ramon Urias (18306043),Hunter Renfroe (18305938),Brian Goodwin (18306054),Taylor Ward (18306123),48200,139.38987112729902
Jacob deGrom (18305745),Carlos Rodon (18305746),Jorge Alfaro (18306142),Keston Hiura (18305914),Jace Peterson (18305910),Kyle Seager (18305934),Nicky Lopez (18306118),Joey Gallo (18305848),Brian Goodwin (18306054),Alex Verdugo (18305916),49900,139.35010005510335
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Jesus Aguilar (18305998),Jace Peterson (18305910),Matt Chapman (18305798),Miguel Rojas (18306035),Brian Goodwin (18306054),Guillermo Heredia (18306100),Joey Gallo (18305848),49800,139.31913045421985
Jacob deGrom (18305745),Carlos Rodon (18305746),Christian Vazquez (18305952),Miguel Cabrera (18306022),Jace Peterson (18305910),Luis Urias (18305817),Elvis Andrus (18306152),Joey Gallo (18305848),Andrew Vaughn (18306086),Brian Goodwin (18306054),50000,139.27700009314202
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Bobby Dalbec (18306096),Jace Peterson (18305910),Ke'Bryan Hayes (18305900),Jose Iglesias (18305911),Brian Goodwin (18306054),Eli White (18306056),Joey Gallo (18305848),49000,139.248758413482
Jacob deGrom (18305745),Carlos Rodon (18305746),Riley Adams (18306371),Yandy Diaz (18305923),Jace Peterson (18305910),Jeimer Candelario (18305953),Harold Castro (18306075),Brian Goodwin (18306054),Joey Gallo (18305848),Akil Baddoo (18305978),49000,139.2420673746755
Jacob deGrom (18305745),Carlos Rodon (18305746),Jorge Alfaro (18306142),Ty France (18306006),Jace Peterson (18305910),Harold Castro (18306075),Miguel Rojas (18306035),Robbie Grossman (18305989),Joey Gallo (18305848),Brian Goodwin (18306054),47900,139.15334924109757
Carlos Rodon (18305746),Jacob deGrom (18305745),Martin Maldonado (18306299),Bobby Dalbec (18306096),Jace Peterson (18305910),Starlin Castro (18306046),Brendan Rodgers (18305856),Joey Gallo (18305848),Brian Goodwin (18306054),Taylor Ward (18306123),48300,139.1358760923449
Carlos Rodon (18305746),Jacob deGrom (18305745),Jonah Heim (18306108),Andy Ibanez (18306159),Jace Peterson (18305910),Harold Castro (18306075),Ramon Urias (18306043),Joey Gallo (18305848),Yordan Alvarez (18306219),Brian Goodwin (18306054),48800,139.10720212078144
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Alex Kirilloff (18305949),Jace Peterson (18305910),Kyle Seager (18305934),Hanser Alberto (18306170),Brian Goodwin (18306054),Joey Gallo (18305848),Alex Verdugo (18305916),49000,139.07640129693414
Jacob deGrom (18305745),Carlos Rodon (18305746),Jonah Heim (18306108),Miguel Cabrera (18306022),Jace Peterson (18305910),Harold Castro (18306075),J.P. Crawford (18305927),Joey Gallo (18305848),Brian Goodwin (18306054),Kyle Tucker (18305894),49800,139.0622017826482
Carlos Rodon (18305746),Jacob deGrom (18305745),Eric Haase (18305876),Bobby Dalbec (18306096),Jace Peterson (18305910),Jose Peraza (18306110),J.P. Crawford (18305927),Eddie Rosario (18306015),Brian Goodwin (18306054),Joey Gallo (18305848),49900,139.0535023109477
Carlos Rodon (18305746),Jacob deGrom (18305745),Martin Maldonado (18306299),Matt Olson (18305822),Jace Peterson (18305910),Ernie Clement (18306213),Harold Castro (18306075),Joey Gallo (18305848),Taylor Ward (18306123),Brian Goodwin (18306054),47900,139.05325428993
Carlos Rodon (18305746),Jacob deGrom (18305745),Riley Adams (18306371),Matt Olson (18305822),Brendan Rodgers (18305856),Jonathan Villar (18306023),Ramon Urias (18306043),Brian Goodwin (18306054),Harold Ramirez (18306124),Joey Gallo (18305848),49300,139.04042116443082
Carlos Rodon (18305746),Jacob deGrom (18305745),Jorge Alfaro (18306142),Bobby Dalbec (18306096),Jace Peterson (18305910),Ke'Bryan Hayes (18305900),Josh Rojas (18305991),Brian Goodwin (18306054),Joey Gallo (18305848),Robbie Grossman (18305989),49000,139.02822436081988
